,Short MA,Long MA,Sharpe
0,20,50,0.6595334082035114
5,50,200,0.41863343239303
1,20,100,0.40801743508859395
4,50,100,0.3436506660265186
2,20,200,0.24665763131090754
8,100,200,-0.032992369816739635
6,100,50,-0.4217799441991558
3,50,50,
7,100,100,
